path,category,size_kb
better_profile.py,misc,107.8
Boom_map.py,environment,22.2
coastal_zones.py,environment,9.6
combined_sizing.py,sizing_structures,75.5
comprehensive_sensitivity_2_panel.png,outputs_figures_reports,199.6
comprehensive_sensitivity_5_panel.png,outputs_figures_reports,265.8
density_velocity_database.csv,data,4081.6
Heat_temps_turbulent.py,thermal_atmosphere,12.8
Hypersonic Drag Estimation 2.0,aerodynamics_drag,5.9
Hypersonic Drag Estimation Alex.py,aerodynamics_drag,7.4
Hypersonic Drag Estimation.py,aerodynamics_drag,2.8
Hypersonicdragpluh.py,aerodynamics_drag,10.2
Improved Merged Drag with Altitude Input,aerodynamics_drag,11.2
Improved Merged Drag with Altitude Input.py,aerodynamics_drag,10.3
Initial_sizing.py,sizing_structures,29.1
Input Altitude Merged Drag.py,aerodynamics_drag,11.0
Input_Alt_Merged_Drag_with_alt.py,aerodynamics_drag,13.2
isa_atmosphere.py,thermal_atmosphere,3.0
mach_fixed_altitude_output.csv,aerodynamics_drag,55.0
Merged Drag to Mach Graph.py,aerodynamics_drag,9.2
Merged Drag to Mach Numerical and Graph with Altitude Input.py,aerodynamics_drag,11.1
Merged Drag to Mach Numerical and Graph.py,aerodynamics_drag,10.6
Merged Drag to Mach.py,aerodynamics_drag,8.9
Mission_Heat_flux_Laminar.py,thermal_atmosphere,11.1
Radii_alt_graphing.py,thermal_atmosphere,6.4
ramjet_multidesign_thrust_maps.npz,propulsion,2.2
ramjet_multidesign_thrust_maps_surrogate.npz,propulsion,4.3
ramjet_revised.py,propulsion,68.1
ramjet_surrogate_calibration_limited_mach_alt.npz,propulsion,2.2
ramjet_thrust_map.npz,propulsion,3.1
README.md,misc,0.0
Reynold Number Calculator.py,thermal_atmosphere,2.0
Sensitivity Study Drag.py,aerodynamics_drag,18.3
sensitivity-study-trade-off.py,trade_offs,2.1
sensitivity_study_results.csv,data,7.1
SHM try.py,sizing_structures,10.8
Subsonic Drag Estimation Alex.py,aerodynamics_drag,6.2
Subsonic Drag estimation.py,aerodynamics_drag,2.4
Supersonic Drag Estimation 2.0.py,aerodynamics_drag,3.9
Supersonic Drag Estimation Alex.py,aerodynamics_drag,4.5
Transonic Drag Estimation.py,aerodynamics_drag,5.0
turbojet_multidesign_thrust_maps.npz,propulsion,4.5
turbojet_pycycle_wrapper.py,propulsion,10.1
turbojet_surrogate_calibration.npz,propulsion,4.6
turbojet_thrust_map.npz,propulsion,2.1
Variables.py,misc,0.0
.idea/DSE.iml,misc,0.2
.idea/misc.xml,misc,0.2
.idea/vcs.xml,misc,0.2
.idea/workspace.xml,misc,11.4
.vscode/settings.json,misc,0.1
Engine/Engine_Cooling.py,propulsion,23.7
Engine/ramjet_01.py,propulsion,63.6
Engine/scramjet_01.py,propulsion,68.1
Engine/turbojet_01.py,propulsion,13.2
example_cycles/afterburning_turbojet.py,external_pycycle_examples,12.2
example_cycles/electric_propulsor.py,external_pycycle_examples,6.1
example_cycles/high_bypass_turbofan.py,external_pycycle_examples,21.5
example_cycles/mixedflow_turbofan.py,external_pycycle_examples,18.3
example_cycles/multi_spool_turboshaft.py,external_pycycle_examples,16.5
example_cycles/simple_turbojet.py,external_pycycle_examples,9.0
example_cycles/single_spool_turboshaft.py,external_pycycle_examples,9.9
example_cycles/tab_thermo_data_generator.py,external_pycycle_examples,6.8
example_cycles/wet_propulsor.py,external_pycycle_examples,6.2
example_cycles/wet_simple_turbojet.py,external_pycycle_examples,8.9
example_cycles/__init__.py,external_pycycle_examples,0.0
figures/adiabatic_temperature.pdf,thermal_atmosphere,20.7
figures/heat_flux.pdf,thermal_atmosphere,25.0
figures/reynolds.pdf,thermal_atmosphere,26.2
figures/stagnation_temperature_vs_altitude.pdf,thermal_atmosphere,22.3
figures/wall_temperature.pdf,thermal_atmosphere,23.7
my_ab_turbojet_out/.openmdao_out,propulsion,0.0
Old_rubbish/benjamin.py,archive_legacy,4.0
Old_rubbish/empirical_drag.py,archive_legacy,13.9
Old_rubbish/Missiondensitiesv.py,archive_legacy,3.7
Old_rubbish/old_combined_m8.py,archive_legacy,34.8
Old_rubbish/optimize_transition_profile.py,archive_legacy,44.8
Old_rubbish/plot_altitude_vs_range.py,archive_legacy,13.6
Old_rubbish/thrust_vs_drag.py,propulsion,198.2
optimize_transition_profile_out/.openmdao_out,misc,0.0
pycycle/api.py,external_pycycle_examples,1.9
pycycle/connect_flow.py,external_pycycle_examples,0.5
pycycle/constants.py,external_pycycle_examples,2.8
pycycle/element_base.py,external_pycycle_examples,2.0
